epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,1171.08,0.66032,0.38846,0.87102,0.88183,0.62603,0.72139,0.4766,0.73662,0.40599,0.75455,0.00026161,0.00026161,0.00026161
66,1189.89,0.64037,0.37342,0.87459,0.86004,0.63932,0.7219,0.47422,0.7387,0.39872,0.75007,0.000254541,0.000254541,0.000254541
67,1207.4,0.64417,0.37562,0.87018,0.85134,0.63799,0.71933,0.47402,0.72789,0.39944,0.74902,0.000247472,0.000247472,0.000247472
68,1225.57,0.62039,0.36559,0.86051,0.87762,0.62554,0.7153,0.4773,0.72895,0.39714,0.75005,0.000240404,0.000240404,0.000240404
69,1244.71,0.64315,0.37521,0.87187,0.8485,0.64918,0.71616,0.47371,0.73084,0.39538,0.75217,0.000233335,0.000233335,0.000233335
70,1261.62,0.63062,0.3675,0.86956,0.8529,0.64025,0.71315,0.47278,0.72883,0.39317,0.75068,0.000226267,0.000226267,0.000226267
71,1278.73,0.62583,0.35585,0.86761,0.88898,0.63036,0.72171,0.47878,0.72233,0.38998,0.75063,0.000219198,0.000219198,0.000219198
72,1298.7,0.62387,0.36224,0.86557,0.86865,0.63762,0.7213,0.48054,0.72955,0.39168,0.75025,0.000212129,0.000212129,0.000212129
73,1317.77,0.61901,0.35626,0.86813,0.85824,0.63944,0.72428,0.4813,0.72696,0.392,0.75318,0.000205061,0.000205061,0.000205061
74,1336.43,0.61349,0.35363,0.87144,0.85738,0.64564,0.71845,0.47784,0.72769,0.39286,0.75325,0.000197992,0.000197992,0.000197992
75,1355.04,0.62283,0.35886,0.86404,0.87046,0.64055,0.72329,0.48085,0.72749,0.38998,0.75055,0.000190924,0.000190924,0.000190924
76,1372.09,0.62634,0.35371,0.85804,0.88043,0.64114,0.72465,0.48182,0.72586,0.39008,0.75553,0.000183855,0.000183855,0.000183855
77,1390.91,0.61946,0.35516,0.86102,0.84666,0.6541,0.723,0.48046,0.72609,0.39312,0.75284,0.000176786,0.000176786,0.000176786
78,1409.13,0.61613,0.3488,0.87331,0.86116,0.65337,0.72762,0.48358,0.72143,0.38973,0.7538,0.000169718,0.000169718,0.000169718
79,1429.29,0.61545,0.3492,0.86695,0.85708,0.65642,0.72797,0.4835,0.71745,0.38321,0.74742,0.000162649,0.000162649,0.000162649
80,1446.1,0.60238,0.34884,0.86101,0.86317,0.65705,0.73261,0.4864,0.72044,0.38818,0.75088,0.000155581,0.000155581,0.000155581
81,1466.09,0.60581,0.34688,0.86499,0.89299,0.63718,0.72708,0.48544,0.71459,0.38639,0.74997,0.000148512,0.000148512,0.000148512
82,1483.06,0.59893,0.34525,0.85881,0.87718,0.64396,0.7324,0.48854,0.72082,0.39006,0.75184,0.000141443,0.000141443,0.000141443
83,1502.96,0.61937,0.3437,0.86087,0.88421,0.65004,0.73667,0.49247,0.71741,0.38261,0.75137,0.000134375,0.000134375,0.000134375
84,1520.84,0.61015,0.35341,0.86148,0.88023,0.64892,0.73465,0.49322,0.71694,0.37968,0.75157,0.000127306,0.000127306,0.000127306
85,1540.34,0.6112,0.34763,0.86969,0.88826,0.64074,0.73348,0.49007,0.71069,0.38003,0.7469,0.000120238,0.000120238,0.000120238
86,1557.61,0.6322,0.4415,0.89322,0.87856,0.64427,0.7325,0.49011,0.70839,0.37208,0.74389,0.000113169,0.000113169,0.000113169
87,1575,0.61064,0.33774,0.86578,0.88044,0.65068,0.73582,0.49028,0.70997,0.37506,0.7494,0.0001061,0.0001061,0.0001061
