epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,746.342,0.69213,0.43724,0.88591,0.82727,0.55857,0.62997,0.39829,0.82302,0.49728,0.77386,0.000339364,0.000339364,0.000339364
55,759.947,0.72441,0.45909,0.89264,0.84988,0.56158,0.63876,0.40652,0.79085,0.47558,0.76272,0.000332296,0.000332296,0.000332296
56,772.978,0.69931,0.44458,0.8903,0.8325,0.55335,0.63144,0.40084,0.80891,0.47618,0.76715,0.000325227,0.000325227,0.000325227
57,786.534,0.71402,0.44545,0.88541,0.82283,0.56455,0.63656,0.40147,0.81582,0.47791,0.77285,0.000318158,0.000318158,0.000318158
58,800.267,0.69919,0.4377,0.89176,0.83991,0.57386,0.64211,0.40851,0.80711,0.47067,0.77002,0.00031109,0.00031109,0.00031109
59,815.122,0.71206,0.43083,0.88706,0.84828,0.57353,0.64992,0.41246,0.78711,0.46104,0.76269,0.000304021,0.000304021,0.000304021
60,829.58,0.70164,0.43879,0.89129,0.84027,0.57025,0.64489,0.40878,0.79134,0.45661,0.76001,0.000296953,0.000296953,0.000296953
61,842.926,0.71418,0.44296,0.88757,0.87136,0.57091,0.65096,0.41161,0.80101,0.46177,0.76884,0.000289884,0.000289884,0.000289884
62,856.447,0.68683,0.42628,0.8846,0.85511,0.57408,0.64407,0.41069,0.79656,0.46664,0.76748,0.000282815,0.000282815,0.000282815
63,869.564,0.70709,0.43835,0.88317,0.85425,0.57612,0.64757,0.4121,0.7936,0.46502,0.76254,0.000275747,0.000275747,0.000275747
64,883.257,0.72468,0.4397,0.88439,0.85828,0.57232,0.65111,0.41568,0.7877,0.46164,0.76342,0.000268678,0.000268678,0.000268678
65,897.62,0.71397,0.43419,0.88529,0.83674,0.57958,0.65384,0.41464,0.78387,0.46097,0.76588,0.00026161,0.00026161,0.00026161
66,911.381,0.69733,0.42584,0.89051,0.84418,0.5795,0.6535,0.41704,0.79087,0.45078,0.76392,0.000254541,0.000254541,0.000254541
67,925.347,0.71514,0.43822,0.89,0.86964,0.56584,0.64852,0.41406,0.7838,0.46051,0.7619,0.000247472,0.000247472,0.000247472
68,939.054,0.68565,0.41989,0.87824,0.86663,0.57251,0.65282,0.41607,0.7856,0.4547,0.76012,0.000240404,0.000240404,0.000240404
69,952.639,0.71188,0.43105,0.88712,0.85897,0.57751,0.65736,0.42115,0.78046,0.44606,0.75827,0.000233335,0.000233335,0.000233335
70,966.589,0.6941,0.42493,0.88338,0.83707,0.57574,0.65335,0.41959,0.77566,0.44825,0.7533,0.000226267,0.000226267,0.000226267
71,979.904,0.69028,0.41097,0.88317,0.83217,0.57991,0.65412,0.41989,0.78105,0.44892,0.76295,0.000219198,0.000219198,0.000219198
72,992.967,0.68831,0.40934,0.8811,0.8619,0.56877,0.64894,0.41324,0.79093,0.45092,0.76264,0.000212129,0.000212129,0.000212129
73,1006.89,0.67785,0.41474,0.88063,0.87342,0.57234,0.65457,0.41924,0.77649,0.44798,0.7556,0.000205061,0.000205061,0.000205061
74,1021.79,0.6739,0.40439,0.88279,0.84341,0.58147,0.65665,0.42087,0.7809,0.45079,0.75868,0.000197992,0.000197992,0.000197992
75,1035.38,0.68087,0.41204,0.8797,0.86056,0.57754,0.65547,0.42135,0.77539,0.44284,0.76039,0.000190924,0.000190924,0.000190924
76,1048.34,0.6869,0.41093,0.87263,0.86557,0.57818,0.66304,0.42385,0.77367,0.44647,0.75846,0.000183855,0.000183855,0.000183855
77,1062.08,0.68963,0.41262,0.87796,0.87447,0.57153,0.65841,0.42084,0.77635,0.44766,0.75888,0.000176786,0.000176786,0.000176786
78,1075.25,0.68039,0.40163,0.89049,0.84197,0.58933,0.66297,0.42507,0.76697,0.43884,0.75705,0.000169718,0.000169718,0.000169718
79,1089.53,0.68377,0.40678,0.88224,0.85299,0.58492,0.66644,0.42847,0.76947,0.44031,0.75767,0.000162649,0.000162649,0.000162649
80,1104.12,0.67321,0.41028,0.8779,0.85631,0.5762,0.66106,0.42029,0.77852,0.44514,0.7693,0.000155581,0.000155581,0.000155581
81,1118.15,0.66922,0.40837,0.87586,0.86871,0.58923,0.67018,0.42646,0.76626,0.43998,0.75458,0.000148512,0.000148512,0.000148512
82,1131.71,0.68235,0.41397,0.88551,0.84439,0.5931,0.66822,0.42976,0.7679,0.43939,0.75721,0.000141443,0.000141443,0.000141443
83,1145.38,0.67985,0.40319,0.87776,0.85357,0.59032,0.6689,0.42592,0.768,0.43588,0.75742,0.000134375,0.000134375,0.000134375
84,1158.79,0.67374,0.40775,0.87868,0.87863,0.57628,0.67238,0.43098,0.76571,0.43719,0.75382,0.000127306,0.000127306,0.000127306
85,1172.42,0.67353,0.40109,0.88655,0.85115,0.59657,0.67363,0.43035,0.7653,0.43414,0.75339,0.000120238,0.000120238,0.000120238
86,1185.86,0.70546,0.47335,0.93951,0.86394,0.58817,0.66867,0.4277,0.76739,0.43127,0.75722,0.000113169,0.000113169,0.000113169
87,1199.41,0.67566,0.40122,0.87925,0.85383,0.59196,0.67223,0.43206,0.76669,0.43171,0.75743,0.0001061,0.0001061,0.0001061
88,1213.27,0.67086,0.39708,0.87313,0.86176,0.58911,0.67577,0.43385,0.7624,0.4285,0.75461,9.90318e-05,9.90318e-05,9.90318e-05
89,1227.1,0.6375,0.37697,0.87736,0.84483,0.60054,0.67689,0.43388,0.75967,0.42841,0.7529,9.19632e-05,9.19632e-05,9.19632e-05
90,1240.11,0.64694,0.38942,0.88362,0.87518,0.58564,0.67455,0.43495,0.75589,0.42523,0.75299,8.48946e-05,8.48946e-05,8.48946e-05
91,1255.31,0.72544,0.40693,0.86306,0.85172,0.59666,0.67318,0.4288,0.76566,0.43051,0.75743,7.7826e-05,7.7826e-05,7.7826e-05
92,1268.24,0.71957,0.39663,0.86558,0.84044,0.59501,0.67134,0.433,0.75754,0.42757,0.75438,7.07574e-05,7.07574e-05,7.07574e-05
93,1281.47,0.72588,0.39697,0.86171,0.86058,0.59595,0.67514,0.43309,0.75885,0.42652,0.75528,6.36888e-05,6.36888e-05,6.36888e-05
94,1294.8,0.7236,0.40339,0.86308,0.85158,0.59891,0.67466,0.43396,0.7533,0.42419,0.75236,5.66202e-05,5.66202e-05,5.66202e-05
95,1307.82,0.72873,0.40581,0.8584,0.86695,0.59428,0.67579,0.43607,0.75714,0.42563,0.75538,4.95516e-05,4.95516e-05,4.95516e-05
96,1321.19,0.7158,0.41549,0.86438,0.86573,0.59151,0.67752,0.43707,0.7556,0.42355,0.75496,4.2483e-05,4.2483e-05,4.2483e-05
97,1334.69,0.72191,0.39848,0.86252,0.86336,0.59405,0.67715,0.43622,0.75132,0.4214,0.75184,3.54144e-05,3.54144e-05,3.54144e-05
98,1347.83,0.72192,0.40058,0.85312,0.87111,0.59615,0.67776,0.43749,0.75079,0.41947,0.75252,2.83458e-05,2.83458e-05,2.83458e-05
99,1361.08,0.70637,0.38654,0.85544,0.8615,0.60027,0.67701,0.43738,0.75037,0.42062,0.75184,2.12772e-05,2.12772e-05,2.12772e-05
100,1374.35,0.70327,0.3898,0.85737,0.86824,0.5936,0.67868,0.43738,0.74947,0.41909,0.75157,1.42086e-05,1.42086e-05,1.42086e-05
